mime_type_web_server,0
text/html,6684475
image/gif,6524
application/json,3186
application/javascript,1205
text/javascript,664
text/plain,522
application/xml,512
unknown,449
image/png,437
application/xhtml+xml,428
application/pdf,274
text/css,136
text/xml,135
application/rss+xml,100
application/octet-stream,90
application/rdf+xml,42
application/xrd+xml,42
application/atom+xml,40
application/opensearchdescription+xml,39
application/x-javascript,34
image/jpeg,32
application/x-shockwave-flash,7
image/x-icon,5
application/msword,5
application/vnd.hbbtv.xhtml+xml,3
text/json,2
application/vnd.openxmlformats-officedocument.wordprocessingml.document,2
image/svg+xml,1
message/rfc822,1
