crawl_date,0
20200221,25728
20200222,86217
20200223,60613
20200224,35150
20200225,31913
20200226,24884
20200227,404
20200228,2637
20200229,1651
20200301,1161
20200305,9051
20200306,44827
20200307,14542
20200308,7656
20200309,2984
20200310,10197
20200312,3
20200314,16982
20200315,156789
20200316,86679
20200317,65239
20200318,3430
20200319,12499
20200320,23830
20200321,76822
20200322,75716
20200323,67942
20200324,87474
20200325,60590
20200326,16519
20200327,31970
20200328,68863
20200329,44603
20200330,75471
20200331,36649
20200401,5584
20200402,15206
20200403,38147
20200404,73894
20200405,23408
20200406,5421
20200407,32839
20200408,33018
20200409,89196
20200410,128435
20200411,116931
20200412,84457
20200413,41733
20200414,58403
20200415,13999
20200416,13116
20200417,18896
20200418,38522
20200419,77460
20200420,91236
20200421,48900
20200422,24706
20200423,11972
20200424,68733
20200425,48059
20200426,23735
20200427,9142
20200428,13188
20200429,11088
20200430,22591
20200501,26000
20200502,51207
20200503,29166
20200504,24531
20200505,29996
20200506,24484
20200507,16636
20200508,17871
20200509,43886
20200510,30521
20200511,24104
20200512,15230
20200513,9750
20200514,285
20200515,6785
20200516,30419
20200517,33781
20200518,17776
20200519,12262
20200520,5422
20200522,7601
20200523,34186
20200524,14850
20200525,14376
20200526,14676
20200527,8372
20200528,86
20200529,4533
20200530,1238
20200531,80
20200601,16
20200602,962
20200603,43
20200604,2662
20200605,15017
20200606,8048
20200607,8864
20200608,10534
20200609,8206
20200610,685
20200611,159
20200612,10989
20200613,15312
20200614,8477
20200615,7969
20200616,6569
20200617,27341
20200618,23288
20200619,1661
20200620,61
20200622,1341
20200623,3867
20200624,3418
20200625,14762
20200626,7129
20200627,3697
20200628,4198
20200629,4126
20200630,3608
20200701,781
20200702,5352
20200703,4044
20200704,1788
20200706,1692
20200707,4870
20200708,289
20200710,949
20200713,1
20200714,379
20200715,10548
20200716,13700
20200717,6326
20200718,20321
20200719,9967
20200720,30575
20200721,25023
20200722,15295
20200723,41298
20200724,23553
20200725,14995
20200726,5990
20200727,18244
20200728,78041
20200729,28779
20200730,18179
20200731,9751
20200801,7672
20200802,3582
20200803,3209
20200804,27
20200805,6927
20200806,64004
20200807,26782
20200808,17308
20200809,12931
20200810,19017
20200811,7966
20200812,2014
20200813,2554
20200814,220
20200815,171
20200824,8208
20200825,21547
20200826,9546
20200827,8200
20200828,3188
20200831,224
20200901,35
20200903,455
20200904,304
20200907,6518
20200908,14997
20200909,514
20200911,9
20200918,18
20200921,17
20200923,12137
20200924,17606
20200925,7869
20200926,2000
20201001,2049
20201002,6391
20201003,14567
20201004,2273
20201005,1806
20201007,719
20201008,8855
20201009,4131
20201010,2432
20201015,1660
20201016,11749
20201017,16464
20201018,14482
20201019,4064
20201020,3560
20201021,2258
20201022,948
20201023,6807
20201024,13527
20201025,3964
20201026,1001
20201027,99467
20201028,32713
20201029,10139
20201030,5190
20201031,1449
20201102,581
20201103,3405
20201104,4687
20201105,24032
20201106,5728
20201107,8529
20201108,12683
20201109,12366
20201116,5174
20201117,10699
20201118,18888
20201119,8904
20201120,5988
20201121,4968
20201122,4424
20201123,4432
20201124,21158
20201125,2393
20201126,1599
20201127,167
20201130,1219
20201201,917
20201202,33497
20201203,5803
20201204,10815
20201205,9856
20201206,9524
20201210,1
20201211,2060
20201212,4868
20201216,5800
20201217,8332
20201218,19042
20201219,136460
20201220,31965
20201221,12282
20201222,109772
20201223,34313
20201224,53516
20201225,29462
20201226,22780
20201227,20944
20201228,7536
20201230,9
20210113,1046
20210114,2827
20210115,1492
20210116,1
20210121,109
20210122,90
20210126,401
20210127,410
20210129,14950
20210130,114860
20210131,36898
20210201,20475
20210202,9764
20210203,11230
20210204,3785
20210205,5315
20210206,2658
20210210,170
20210215,14555
20210216,35113
20210217,10411
20210218,8488
20210219,3815
20210220,2257
20210221,129
20210222,630
20210223,4063
20210224,18
20210225,4740
20210226,14380
20210228,12
20210301,328
20210302,164
20210303,1
20210305,4856
20210306,56707
20210307,17227
20210308,31848
20210309,86497
20210310,40838
20210311,4489
20210312,390
20210313,350
20210315,3423
20210316,3011
20210318,386
20210319,11188
20210320,19725
20210321,6704
20210322,7525
20210323,5990
20210324,5043
20210402,3562
20210403,8102
20210404,3234
20210405,5700
20210406,4774
20210407,1275
20210412,12150
20210413,170108
20210414,94745
20210415,58806
20210416,31562
20210417,24725
20210418,13265
20210419,4798
20210422,14379
20210423,53347
20210424,23432
20210425,1838
20210426,54
20210427,72
20210516,7426
20210517,14885
20210518,3931
20210519,199
20210528,10773
20210529,699
20210619,33
20210620,7824
20210621,6465
20210628,714
20210701,33901
20210702,116455
20210703,70931
20210704,50515
20210705,36093
20210706,5004
20210707,376
20210708,290
20210712,3139
20210713,5700
20210714,6249
20210715,3034
20210716,4647
20210717,3274
20210723,711
20210724,1206
20210726,24
20210730,3602
20210731,11210
20210801,13428
20210802,17352
20210803,7437
20210804,4589
